"Tarih","Simdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"26.06.2020","132.613,81","133.436,48","133.624,11","132.345,47","1,28B","0,27%"
"25.06.2020","132.260,23","132.503,41","133.407,45","131.530,78","1,89B","-0,25%"
"24.06.2020","132.590,03","133.672,22","134.118,77","132.495,77","2,73B","-0,82%"
"23.06.2020","133.689,92","134.041,80","134.841,02","133.484,06","2,34B","0,09%"
"22.06.2020","133.571,94","133.176,16","134.064,27","132.620,72","3,02B","1,35%"
"19.06.2020","131.797,30","131.221,75","132.439,13","130.729,31","3,74B","1,51%"
"18.06.2020","129.842,85","127.770,44","130.024,87","127.770,44","2,56B","1,74%"
"17.06.2020","127.621,35","128.247,56","128.545,56","127.002,84","1,34B","-0,28%"
"16.06.2020","127.986,05","128.100,56","129.268,65","127.929,16","1,67B","1,07%"
"15.06.2020","126.635,72","126.626,83","127.165,53","125.722,59","1,45B","-0,45%"
"12.06.2020","127.209,35","125.890,18","127.695,55","125.196,49","1,73B","0,38%"
"11.06.2020","126.723,52","127.272,08","127.928,50","126.240,26","2,22B","-0,82%"
"10.06.2020","127.766,63","127.665,46","128.526,96","127.392,13","2,04B","0,38%"
"09.06.2020","127.283,74","128.389,05","128.878,93","126.538,31","1,74B","-0,59%"
"08.06.2020","128.045,08","128.934,37","129.839,98","127.624,47","1,72B","-0,48%"
"05.06.2020","128.663,92","128.666,87","129.385,99","128.023,71","1,23B","0,59%"
"04.06.2020","127.907,63","127.402,99","128.183,73","126.707,23","1,77B","0,63%"
"03.06.2020","127.104,69","126.869,45","127.479,48","126.242,73","1,54B","0,96%"
"02.06.2020","125.899,73","125.577,59","126.555,73","124.744,56","1,97B","0,76%"
"01.06.2020","124.950,48","124.116,31","125.095,97","123.964,55","1,71B","1,65%"
"29.05.2020","122.917,85","122.217,29","122.939,75","121.721,33","1,98B","0,37%"
"28.05.2020","122.469,87","122.269,53","123.472,10","121.570,39","1,78B","0,69%"
"27.05.2020","121.636,58","120.395,70","122.264,50","120.395,70","1,60B","1,81%"
"22.05.2020","119.474,04","118.930,36","119.977,37","118.420,90","702,36M","0,24%"
"21.05.2020","119.190,26","118.502,44","119.849,39","118.502,44","1,11B","0,66%"
"20.05.2020","118.413,27","119.196,07","119.782,37","118.413,27","1,04B","-0,16%"
"18.05.2020","118.602,92","117.069,12","118.895,11","117.069,12","1,12B","2,39%"
"15.05.2020","115.829,47","115.847,10","117.356,28","115.829,47","835,37M","0,43%"
"14.05.2020","115.330,09","116.155,75","116.386,61","114.677,40","1,14B","-0,93%"
"13.05.2020","116.417,97","116.128,38","117.318,45","115.737,53","1,30B","0,26%"
"12.05.2020","116.118,35","114.336,20","116.260,61","114.035,06","1,44B","1,67%"
"11.05.2020","114.207,42","115.190,30","115.474,63","114.207,42","1,07B","-0,34%"
"08.05.2020","114.591,50","115.439,05","116.307,87","114.322,18","1,64B","-0,30%"
"07.05.2020","114.933,45","115.401,47","116.144,84","114.539,92","1,50B","-0,41%"
"06.05.2020","115.403,29","115.643,13","116.200,88","114.844,98","1,27B","-0,14%"
"05.05.2020","115.564,72","116.700,98","116.873,62","114.763,76","1,10B","-0,21%"
"04.05.2020","115.806,24","117.751,99","117.751,99","115.189,44","809,37M","-2,49%"
"30.04.2020","118.760,79","119.522,43","120.070,24","116.815,11","1,24B","-0,31%"
"29.04.2020","119.129,10","118.740,91","119.296,53","117.844,43","1,01B","0,80%"
"28.04.2020","118.181,91","119.155,57","119.594,18","117.983,96","1,11B","-0,66%"
"27.04.2020","118.970,10","117.583,73","119.082,92","117.550,74","1,26B","2,39%"
"24.04.2020","116.188,92","115.985,96","117.022,71","115.246,24","1,07B","0,34%"
"22.04.2020","115.789,88","116.073,46","116.832,40","115.753,27","1,11B","0,23%"
"21.04.2020","115.529,83","116.648,89","116.830,72","115.148,84","871,82M","-1,65%"
"20.04.2020","117.468,21","117.383,44","117.965,41","116.490,41","1,07B","0,47%"
"17.04.2020","116.921,55","117.003,86","117.763,58","116.243,72","1,23B","2,22%"
"16.04.2020","114.384,99","115.354,72","115.818,15","113.599,51","1,10B","0,04%"
"15.04.2020","114.338,49","118.243,99","118.581,75","113.421,84","1,54B","-2,92%"
"14.04.2020","117.777,52","116.115,16","117.837,19","116.059,02","1,56B","2,65%"
"13.04.2020","114.741,57","113.853,14","116.099,95","113.333,52","1,20B","-0,43%"
"10.04.2020","115.239,51","114.863,04","116.649,44","113.832,64","1,37B","0,72%"
"09.04.2020","114.413,17","112.087,20","114.413,17","111.348,96","1,81B","3,22%"
"08.04.2020","110.842,67","109.914,92","110.893,73","109.264,12","858,20M","0,89%"
"07.04.2020","109.869,99","110.562,64","112.624,64","109.869,99","1,69B","0,59%"
"06.04.2020","109.225,49","108.196,56","109.312,03","107.623,78","980,53M","2,59%"
"03.04.2020","106.466,96","106.701,67","107.148,39","106.056,79","901,06M","-0,18%"
"02.04.2020","106.663,00","106.915,28","107.731,37","105.016,42","1,49B","0,49%"
"01.04.2020","106.148,10","105.046,62","107.623,22","104.589,93","1,25B","-0,60%"
"31.03.2020","106.790,67","106.799,25","107.947,50","105.845,62","939,18M","1,36%"
"30.03.2020","105.353,97","105.222,50","106.366,18","103.929,88","796,15M","-0,18%"
"27.03.2020","105.539,78","109.996,14","110.632,16","105.539,78","1,12B","-3,82%"
"26.03.2020","109.734,88","106.419,60","110.029,30","105.962,18","1,36B","2,94%"
"25.03.2020","106.604,27","108.722,57","110.431,64","105.838,36","1,54B","-0,74%"
"24.03.2020","107.401,03","105.497,29","107.993,18","104.624,39","1,21B","5,91%"
"23.03.2020","101.409,71","100.338,35","104.602,19","99.304,78","1,16B","-2,23%"
"20.03.2020","103.726,57","105.906,10","107.056,58","102.777,99","923,86M","0,17%"
"19.03.2020","103.549,16","103.433,12","105.709,44","102.094,09","1,09B","-0,56%"
"18.03.2020","104.134,10","103.418,11","106.930,80","102.834,14","988,97M","-1,62%"
"17.03.2020","105.853,55","108.186,42","108.186,42","99.663,77","1,33B","-0,71%"
"16.03.2020","106.609,02","111.705,16","111.705,16","105.159,68","878,70M","-7,98%"
"13.03.2020","115.848,99","113.930,89","120.119,50","111.479,32","1,37B","1,82%"
"12.03.2020","113.773,66","119.012,04","119.539,23","112.478,28","888,16M","-6,77%"
"11.03.2020","122.029,82","121.359,34","124.240,62","119.590,84","1,00B","0,03%"
"10.03.2020","121.995,37","127.145,62","128.392,88","121.933,53","1,06B","-1,73%"
"09.03.2020","124.138,67","127.322,20","127.333,71","122.826,32","890,66M","-5,16%"
"06.03.2020","130.896,87","133.277,86","134.229,94","130.012,46","903,03M","-2,02%"
"05.03.2020","133.595,06","134.441,55","135.163,88","133.021,70","840,32M","0,88%"
"04.03.2020","132.432,17","132.315,59","134.985,38","131.945,63","1,21B","-0,17%"
"03.03.2020","132.651,98","129.595,32","132.651,98","129.568,42","1,04B","3,98%"
"02.03.2020","127.570,99","129.108,20","130.240,53","126.594,37","895,54M","1,00%"
"28.02.2020","126.303,75","119.114,57","128.508,73","119.114,57","1,10B","-4,05%"
"27.02.2020","131.638,55","135.754,34","136.343,97","131.638,55","1,53B","-4,16%"
"26.02.2020","137.348,70","136.247,19","137.474,20","134.694,41","1,25B","0,80%"
"25.02.2020","136.256,09","138.065,20","138.422,31","135.914,44","1,25B","-0,65%"
"24.02.2020","137.141,30","137.796,66","137.796,66","135.598,67","1,12B","-2,07%"
"21.02.2020","140.041,03","138.069,38","140.889,02","137.556,91","1,46B","0,89%"
"20.02.2020","138.807,52","142.772,59","142.920,08","138.025,33","1,53B","-2,75%"
"19.02.2020","142.727,91","143.464,42","144.036,56","141.889,30","1,02B","-0,21%"
"18.02.2020","143.022,36","143.822,06","143.834,19","142.494,06","1,19B","-0,92%"
"17.02.2020","144.353,13","144.602,03","144.873,63","144.109,73","1,11B","0,56%"
"14.02.2020","143.552,13","144.743,66","145.399,81","143.477,95","1,09B","-0,37%"
"13.02.2020","144.088,59","143.655,67","144.457,64","142.893,58","1,13B","0,20%"
"12.02.2020","143.797,69","143.761,13","145.613,23","142.892,80","1,77B","0,12%"
"11.02.2020","143.630,00","143.106,27","143.991,69","140.775,59","1,50B","1,29%"
"10.02.2020","141.798,78","143.977,55","144.863,16","140.123,80","1,56B","-2,11%"
"07.02.2020","144.848,08","146.834,28","147.227,34","144.742,25","1,08B","-1,23%"
"06.02.2020","146.658,69","147.287,95","148.825,06","146.310,08","1,43B","-0,12%"
"05.02.2020","146.828,13","147.075,98","148.689,64","146.527,36","1,56B","0,03%"
"04.02.2020","146.788,56","144.450,97","146.895,84","144.052,70","1,28B","2,74%"
"03.02.2020","142.879,42","143.259,56","143.524,73","142.338,16","1,10B","-0,04%"
"31.01.2020","142.942,13","144.646,09","144.900,97","142.942,13","1,61B","-1,08%"
"30.01.2020","144.507,48","143.313,06","144.507,48","142.472,13","1,20B","0,40%"
"29.01.2020","143.937,58","144.926,58","145.116,63","143.773,72","1,09B","-0,04%"
"28.01.2020","143.996,02","145.231,23","145.508,83","143.452,95","1,20B","-0,32%"
"27.01.2020","144.461,48","145.310,70","146.368,75","144.240,89","1,14B","-1,90%"
"24.01.2020","147.263,63","149.479,81","149.762,86","145.533,92","1,51B","-0,48%"
"23.01.2020","147.966,88","147.877,28","149.185,47","147.614,27","1,20B","-0,30%"
"22.01.2020","148.409,78","150.517,27","150.925,09","148.001,73","1,35B","-0,85%"
"21.01.2020","149.678,67","147.554,23","150.056,72","147.152,95","1,28B","0,74%"
"20.01.2020","148.578,31","147.728,36","149.058,28","147.728,36","1,11B","0,92%"
"17.01.2020","147.228,25","147.454,98","147.721,23","146.160,31","1,14B","0,40%"
"16.01.2020","146.641,08","147.044,95","148.430,59","146.433,91","1,81B","0,03%"
"15.01.2020","146.594,59","147.122,94","147.888,52","146.202,42","1,74B","-0,58%"
"14.01.2020","147.444,48","146.439,63","147.571,33","145.457,23","1,72B","0,76%"
"13.01.2020","146.338,44","145.653,97","147.316,55","145.578,34","1,84B","1,30%"
"10.01.2020","144.455,63","143.874,11","145.031,56","143.165,59","1,74B","0,59%"
"09.01.2020","143.605,94","140.060,31","143.806,45","140.048,66","1,96B","4,64%"
"08.01.2020","137.237,77","134.852,59","137.732,23","134.577,20","1,24B","0,49%"
"07.01.2020","136.574,73","136.959,52","137.624,02","136.245,63","907,80M","0,78%"
"06.01.2020","135.514,13","136.739,17","137.326,77","135.244,17","1,08B","-1,82%"
"03.01.2020","138.025,27","139.686,72","140.315,03","137.028,08","1,63B","-1,89%"
"02.01.2020","140.681,48","139.405,48","140.681,48","138.989,09","1,40B","1,33%"
"31.12.2019","138.830,09","139.467,63","139.911,11","138.830,09","996,28M","-0,22%"
"30.12.2019","139.129,61","138.121,66","139.356,72","138.121,66","1,03B","1,01%"
"27.12.2019","137.740,28","138.142,05","138.416,36","137.347,97","676,22M","0,02%"
"26.12.2019","137.706,45","137.455,03","138.729,19","137.129,59","671,05M","0,29%"
"25.12.2019","137.303,16","137.516,16","137.748,83","137.129,91","522,06M","0,04%"
"24.12.2019","137.250,77","136.940,55","137.618,55","136.785,63","921,68M","0,85%"
"23.12.2019","136.094,81","135.423,47","136.094,81","135.089,13","812,84M","0,69%"
"20.12.2019","135.160,38","134.971,61","135.656,72","134.710,55","872,71M","0,54%"
"19.12.2019","134.428,72","134.943,69","135.401,78","134.277,06","683,36M","-0,15%"
"18.12.2019","134.627,50","134.636,89","135.033,69","134.077,20","826,40M","-0,51%"
"17.12.2019","135.311,58","135.944,30","136.479,22","135.158,56","846,16M","-0,14%"
"16.12.2019","135.507,36","135.026,80","135.992,58","134.407,36","931,90M","0,51%"
"13.12.2019","134.822,98","135.374,73","136.554,58","134.259,34","1,38B","0,48%"
"12.12.2019","134.182,31","132.187,22","134.182,31","132.187,22","1,18B","2,13%"
"11.12.2019","131.380,97","131.632,34","131.868,91","131.017,40","648,03M","-0,23%"
"10.12.2019","131.689,88","132.555,88","133.192,70","131.237,22","896,86M","-0,60%"
"09.12.2019","132.490,27","132.754,50","132.907,83","131.689,69","864,03M","-0,26%"
"06.12.2019","132.834,75","133.148,73","133.497,56","132.323,42","970,22M","0,05%"
"05.12.2019","132.767,42","132.324,02","133.256,70","132.158,38","1,07B","0,80%"
"04.12.2019","131.711,08","131.205,88","131.871,81","130.528,22","853,35M","0,81%"
"03.12.2019","130.658,75","132.135,88","133.243,36","130.658,75","1,08B","-1,29%"
"02.12.2019","132.361,06","131.820,30","132.656,70","131.672,98","826,43M","0,81%"
"29.11.2019","131.303,41","131.926,75","132.415,33","130.865,56","776,40M","-0,35%"
"28.11.2019","131.766,70","130.508,17","131.840,84","130.389,88","736,71M","1,16%"
"27.11.2019","130.261,51","130.347,61","130.988,31","129.682,38","845,00M","-0,15%"
"26.11.2019","130.459,28","129.962,46","130.742,89","128.990,85","1,24B","0,56%"
"25.11.2019","129.727,01","132.109,19","132.921,88","129.614,19","1,20B","-1,23%"
"22.11.2019","131.346,77","132.125,55","132.643,13","130.598,71","742,59M","-0,28%"
"21.11.2019","131.712,02","131.720,08","132.356,66","131.064,90","868,56M","-0,03%"
"20.11.2019","131.751,89","132.433,70","133.389,70","131.581,09","1,27B","-0,75%"
"19.11.2019","132.742,42","132.237,02","133.070,67","131.519,92","1,12B","0,68%"
"18.11.2019","131.848,23","130.663,05","132.372,28","130.663,05","1,09B","1,40%"
"15.11.2019","130.028,56","128.948,30","130.249,11","128.774,88","756,51M","1,55%"
"14.11.2019","128.043,57","128.782,31","129.891,48","127.452,68","1,06B","-1,19%"
"13.11.2019","129.591,68","128.764,72","129.767,97","128.240,18","897,64M","0,70%"
"12.11.2019","128.687,23","127.811,06","129.258,10","127.811,06","880,52M","1,02%"
"11.11.2019","127.392,24","127.252,44","128.407,60","126.468,96","800,01M","-0,17%"
"08.11.2019","127.613,33","127.927,19","128.846,01","127.471,61","969,88M","-0,40%"
"07.11.2019","128.124,10","125.756,57","128.124,10","125.756,57","1,07B","2,62%"
"06.11.2019","124.851,11","124.198,57","125.479,22","123.785,40","662,22M","0,60%"
"05.11.2019","124.101,78","123.441,44","124.309,53","123.086,82","653,73M","0,54%"
"04.11.2019","123.431,99","122.312,12","123.921,66","122.124,65","674,76M","1,79%"
"01.11.2019","121.265,29","121.647,88","121.788,84","120.320,67","527,58M","-0,08%"
"31.10.2019","121.366,87","121.943,67","122.289,66","121.046,46","560,08M","-0,29%"
"30.10.2019","121.724,80","122.035,28","123.005,75","121.560,83","595,26M","-1,26%"
"28.10.2019","123.280,97","124.124,26","124.349,18","123.280,97","204,52M","-0,54%"
"25.10.2019","123.951,86","124.051,85","124.582,92","123.760,00","562,46M","-0,19%"
"24.10.2019","124.189,83","124.381,47","125.323,99","123.820,33","966,51M","0,53%"
"23.10.2019","123.531,71","122.284,85","123.612,21","122.019,09","872,90M","1,96%"
"22.10.2019","121.158,66","120.686,89","121.814,18","120.331,17","699,86M","0,59%"
"21.10.2019","120.450,43","122.075,33","122.075,33","120.216,04","595,52M","-1,30%"
"18.10.2019","122.039,71","122.189,65","122.537,78","121.575,49","770,18M","3,74%"
"17.10.2019","117.639,77","116.593,07","117.972,79","115.089,65","592,64M","0,87%"
"16.10.2019","116.620,97","115.808,03","116.976,57","115.330,31","667,66M","-1,29%"
"15.10.2019","118.149,02","118.741,71","119.059,47","117.708,23","940,00M","1,29%"
"14.10.2019","116.648,35","121.451,95","121.713,03","116.028,58","1,37B","-5,11%"
"11.10.2019","122.924,71","123.156,20","123.946,52","122.562,09","927,65M","0,24%"
"10.10.2019","122.627,89","124.086,13","124.449,49","120.991,20","1,17B","-0,81%"
"09.10.2019","123.623,62","126.679,94","127.251,23","123.568,93","1,03B","-2,15%"
"08.10.2019","126.343,76","126.446,99","127.610,35","124.768,56","1,48B","-0,73%"
"07.10.2019","127.276,57","127.644,23","130.260,90","126.667,63","1,38B","-0,51%"
"04.10.2019","127.930,87","127.579,37","128.426,34","127.060,44","833,70M","0,67%"
"03.10.2019","127.084,52","128.697,01","129.884,51","126.172,20","928,47M","-0,87%"
"02.10.2019","128.198,40","128.670,25","129.583,33","127.744,02","959,40M","-0,44%"
"01.10.2019","128.761,49","130.820,76","130.822,58","127.869,76","1,12B","-1,38%"
"30.09.2019","130.558,54","131.550,22","131.740,69","130.460,65","1,06B","-0,21%"
"27.09.2019","130.830,80","126.637,20","130.943,03","126.637,20","1,48B","3,59%"
"26.09.2019","126.298,80","127.627,24","127.868,26","126.224,14","820,06M","-0,75%"
"25.09.2019","127.248,91","125.908,23","127.248,91","125.716,07","800,45M","0,85%"
"24.09.2019","126.181,83","125.654,80","126.678,87","125.654,80","987,44M","1,94%"
"23.09.2019","123.780,31","124.304,69","124.662,84","123.196,26","784,93M","-0,23%"
"20.09.2019","124.071,23","124.565,56","125.048,33","123.692,15","1,21B","-0,07%"
"19.09.2019","124.155,12","126.551,08","126.604,94","123.760,42","1,10B","-1,77%"
"18.09.2019","126.392,98","125.876,98","126.578,43","124.581,22","1,03B","0,38%"
"17.09.2019","125.919,06","127.518,81","127.518,81","125.218,65","1,21B","-1,19%"
"16.09.2019","127.438,24","127.538,90","128.490,15","126.951,37","904,68M","-0,69%"
"13.09.2019","128.323,00","128.038,97","128.563,32","127.370,86","776,96M","0,47%"
"12.09.2019","127.718,82","127.359,04","128.353,45","126.678,49","1,11B","0,68%"
"11.09.2019","126.851,84","126.351,21","127.237,29","125.986,52","952,45M","0,78%"
"10.09.2019","125.864,86","124.932,59","126.098,30","124.581,16","1,04B","0,72%"
"09.09.2019","124.964,23","123.833,16","125.701,94","123.833,16","1,02B","1,89%"
"06.09.2019","122.644,37","124.237,65","124.528,65","122.582,72","901,96M","-1,42%"
"05.09.2019","124.415,50","124.822,70","125.247,29","123.816,36","1,03B","0,24%"
"04.09.2019","124.120,79","123.787,59","124.423,67","123.131,32","853,56M","1,17%"
"03.09.2019","122.690,40","121.996,64","123.562,81","121.469,85","960,76M","0,45%"
"02.09.2019","122.136,30","119.882,96","122.525,14","119.882,96","780,73M","1,89%"
"29.08.2019","119.871,67","119.269,97","120.508,22","118.806,93","737,69M","0,64%"
"28.08.2019","119.106,04","120.044,12","120.152,44","118.352,31","802,60M","-0,30%"
"27.08.2019","119.462,18","121.235,72","121.235,72","119.228,13","864,45M","-1,20%"
"26.08.2019","120.907,13","119.048,15","121.336,54","119.048,15","794,53M","-0,08%"
"23.08.2019","121.001,05","119.080,08","121.352,77","118.414,00","844,28M","1,96%"
"22.08.2019","118.674,02","119.058,14","119.614,98","117.325,95","804,05M","-0,15%"
"21.08.2019","118.846,39","119.473,84","119.824,51","118.479,53","766,70M","-0,37%"
"20.08.2019","119.285,46","118.776,02","120.122,50","118.488,13","795,94M","0,64%"
"19.08.2019","118.532,04","120.342,74","120.603,14","118.264,09","745,96M","-0,61%"
"16.08.2019","119.259,81","121.381,52","121.823,88","119.259,81","769,64M","-1,09%"
"15.08.2019","120.570,38","123.053,55","123.121,26","120.464,25","781,10M","-2,95%"
"09.08.2019","124.236,97","124.120,85","124.910,20","123.422,44","702,63M","0,18%"
"08.08.2019","124.014,81","124.232,30","124.433,80","122.252,67","826,39M","0,90%"
"07.08.2019","122.914,48","125.548,19","125.748,44","122.425,06","875,45M","-1,63%"
"06.08.2019","124.950,21","124.071,66","125.608,52","123.924,44","674,14M","1,04%"
"05.08.2019","123.663,01","124.605,01","125.394,71","123.378,29","656,84M","-1,07%"
"02.08.2019","125.005,23","127.539,24","127.736,68","124.927,86","691,09M","-2,38%"
"01.08.2019","128.050,24","127.362,20","128.330,09","126.904,88","790,57M","-0,25%"
"31.07.2019","128.365,73","129.695,82","129.697,11","127.571,41","826,93M","-0,66%"
"30.07.2019","129.216,66","130.600,44","130.618,54","128.285,04","833,21M","-0,91%"
"29.07.2019","130.405,88","130.037,17","130.609,89","129.154,84","666,94M","0,57%"
"26.07.2019","129.673,21","128.851,55","130.237,56","127.832,05","785,14M","0,87%"
"25.07.2019","128.557,17","131.020,81","131.515,70","127.989,72","1,26B","-1,67%"
"24.07.2019","130.744,56","129.894,41","130.744,56","128.425,00","871,32M","0,94%"
"23.07.2019","129.529,73","127.623,21","130.092,65","127.416,97","893,86M","1,64%"
"22.07.2019","127.444,17","128.549,77","128.893,49","127.143,85","660,10M","-0,91%"
"19.07.2019","128.618,42","129.351,34","129.990,80","128.334,45","1,11B","0,30%"
"18.07.2019","128.236,93","125.688,22","128.634,33","125.214,92","1,06B","1,91%"
"17.07.2019","125.839,44","123.995,93","126.039,46","123.432,69","949,87M","1,90%"
"16.07.2019","123.488,94","123.322,84","124.581,24","122.955,73","797,20M","1,02%"
"12.07.2019","122.239,10","125.177,07","125.751,69","121.926,68","1,01B","-2,29%"
"11.07.2019","125.098,05","125.143,87","125.517,56","124.459,18","881,13M","0,88%"
"10.07.2019","124.007,99","121.754,68","124.228,95","121.085,55","1,09B","1,87%"
"09.07.2019","121.726,91","124.026,40","124.540,13","121.654,93","1,16B","-1,84%"
"08.07.2019","124.012,19","123.459,20","124.541,85","123.130,78","974,67M","-1,10%"
"05.07.2019","125.386,44","125.010,15","126.472,09","124.740,41","1,06B","0,30%"
"04.07.2019","125.016,01","125.269,96","125.638,08","123.772,35","686,35M","0,21%"
"03.07.2019","124.757,44","126.077,12","126.131,99","124.454,03","827,69M","-0,75%"
"02.07.2019","125.704,62","125.399,55","126.011,99","124.497,41","987,91M","0,27%"
"01.07.2019","125.366,67","123.904,02","125.668,08","123.426,77","1,25B","3,67%"
"28.06.2019","120.923,69","119.826,49","121.135,74","119.495,83","662,03M","1,17%"
"27.06.2019","119.521,31","119.154,31","120.035,23","119.139,27","760,54M","0,79%"
"26.06.2019","118.582,11","119.580,22","119.987,46","118.221,01","723,12M","-0,74%"
"25.06.2019","119.468,53","119.094,67","120.283,69","118.495,80","921,34M","0,13%"
"24.06.2019","119.319,00","120.508,54","120.689,37","118.931,67","968,34M","1,32%"
"21.06.2019","117.766,70","117.634,59","118.083,42","116.378,70","802,87M","-0,05%"
"20.06.2019","117.831,37","119.292,15","120.341,04","117.729,41","1,32B","-0,12%"
"19.06.2019","117.972,29","117.544,62","118.638,59","116.687,72","1,04B","0,08%"
"18.06.2019","117.880,85","115.496,34","117.942,28","115.134,38","922,06M","2,10%"
"17.06.2019","115.461,00","113.116,28","115.813,21","112.922,17","813,37M","1,72%"
"14.06.2019","113.508,69","113.609,74","114.185,24","112.466,63","719,66M","0,33%"
"13.06.2019","113.136,34","115.269,51","115.269,51","113.118,06","733,14M","-2,37%"
"12.06.2019","115.883,22","116.030,98","117.327,79","115.548,37","777,05M","-0,23%"
"11.06.2019","116.150,73","118.200,18","118.525,21","115.946,93","960,83M","-1,47%"
"10.06.2019","117.887,55","117.536,56","118.428,16","116.490,42","1,01B","0,20%"
"07.06.2019","117.651,69","113.281,27","117.651,69","112.846,74","751,72M","4,13%"
"03.06.2019","112.987,29","112.939,89","113.663,26","112.191,89","250,97M","-0,31%"
"31.05.2019","113.339,75","112.121,15","113.339,75","111.094,71","735,50M","0,83%"
"30.05.2019","112.405,21","109.924,42","112.405,21","109.924,42","932,82M","3,31%"
"29.05.2019","108.801,28","108.444,23","109.524,13","107.989,92","707,38M","0,54%"
"28.05.2019","108.211,69","107.470,11","109.783,28","107.470,11","900,59M","1,39%"
"27.05.2019","106.726,32","108.112,31","108.674,44","106.427,05","570,35M","-0,77%"
"24.05.2019","107.551,25","106.248,33","108.170,43","106.183,54","920,37M","1,70%"
"23.05.2019","105.752,42","104.323,87","105.950,91","104.323,87","763,31M","1,20%"
"22.05.2019","104.503,21","106.217,21","107.032,18","104.503,21","751,16M","-1,97%"
"21.05.2019","106.601,49","108.797,22","109.058,52","106.129,67","785,56M","-1,83%"
"20.05.2019","108.587,44","108.663,26","109.007,07","108.157,12","651,28M","0,08%"
"17.05.2019","108.497,56","108.578,65","109.495,26","108.073,35","826,74M","-0,43%"
"16.05.2019","108.969,04","109.608,94","110.689,47","108.802,08","865,88M","-0,24%"
"15.05.2019","109.230,48","109.964,82","110.012,30","107.344,80","806,62M","-0,65%"
"14.05.2019","109.947,09","107.784,51","109.947,09","107.115,42","935,04M","2,40%"
"13.05.2019","107.372,16","110.170,20","110.309,10","106.214,32","889,87M","-2,45%"
"10.05.2019","110.068,52","111.300,05","111.798,07","109.768,03","739,35M","-0,22%"
"09.05.2019","110.307,73","112.447,74","112.877,05","110.265,18","687,26M","-1,93%"
"08.05.2019","112.481,57","113.044,36","114.188,15","111.746,20","745,20M","-1,41%"
"07.05.2019","114.094,88","113.369,12","114.742,77","113.257,77","701,93M","-1,79%"
"06.05.2019","116.178,80","115.975,94","116.335,66","114.257,47","473,79M","-0,94%"
"03.05.2019","117.284,56","117.500,85","117.805,88","116.532,66","438,77M","-0,09%"
"02.05.2019","117.384,86","119.444,26","119.863,91","117.031,12","530,10M","-1,37%"
"30.04.2019","119.012,39","118.035,95","119.431,32","118.035,95","685,61M","1,02%"
"29.04.2019","117.812,90","118.468,24","118.559,04","117.438,05","635,32M","-0,29%"
"26.04.2019","118.149,97","118.252,36","118.698,11","117.203,48","564,27M","0,35%"
"25.04.2019","117.735,73","120.208,72","120.403,43","116.915,83","722,13M","-1,90%"
"24.04.2019","120.016,20","119.682,80","120.536,69","119.582,18","618,46M","0,11%"
"22.04.2019","119.888,99","120.471,28","120.536,09","119.734,15","305,73M","-1,02%"
"19.04.2019","121.121,65","121.607,27","121.817,56","120.996,97","289,61M","-0,15%"
"18.04.2019","121.298,48","122.711,66","122.751,73","120.991,08","768,95M","-1,50%"
"17.04.2019","123.151,38","121.976,78","123.883,01","121.888,04","913,04M","1,60%"
"16.04.2019","121.209,21","119.642,13","121.575,56","119.642,13","774,33M","1,87%"
"15.04.2019","118.985,20","119.840,14","120.856,29","118.985,20","564,29M","-1,00%"
"12.04.2019","120.186,21","119.795,79","120.474,86","119.006,48","619,23M","-0,09%"
"11.04.2019","120.297,70","121.866,44","122.358,28","120.271,97","725,08M","-1,06%"
"10.04.2019","121.584,02","123.445,08","123.514,19","121.509,83","946,22M","-1,22%"
"09.04.2019","123.090,93","123.011,96","124.017,67","122.266,41","1,00B","1,22%"
"08.04.2019","121.605,50","124.277,10","124.400,45","121.272,61","846,90M","-1,94%"
"05.04.2019","124.010,09","124.286,67","124.659,76","122.194,52","1,18B","0,51%"
"04.04.2019","123.382,09","117.883,15","123.382,09","117.610,14","1,13B","4,66%"
"03.04.2019","117.885,32","117.475,85","118.485,93","117.275,72","795,48M","1,04%"
"02.04.2019","116.673,05","116.824,61","119.146,95","116.242,40","926,37M","-0,69%"
"01.04.2019","117.486,28","117.649,07","118.990,20","114.914,10","1,21B","-0,05%"
"29.03.2019","117.550,17","115.883,74","118.161,68","115.044,89","982,05M","1,83%"
"28.03.2019","115.442,23","114.066,20","117.473,44","113.542,10","1,72B","0,35%"
"27.03.2019","115.037,79","122.786,30","122.957,81","113.196,89","1,63B","-5,87%"
"26.03.2019","122.205,24","125.628,57","125.960,66","121.826,44","1,18B","-2,05%"
"25.03.2019","124.757,48","125.600,52","126.078,59","123.630,96","1,29B","-0,46%"
"22.03.2019","125.331,54","130.110,33","130.238,94","125.102,19","1,39B","-3,46%"
"21.03.2019","129.821,30","130.306,25","130.901,25","128.570,46","1,18B","0,15%"
"20.03.2019","129.621,04","131.669,17","132.053,19","129.485,74","1,49B","-1,68%"
"19.03.2019","131.829,33","131.545,94","133.272,95","130.805,75","1,28B","0,25%"
"18.03.2019","131.501,09","130.239,49","131.804,00","130.239,49","998,33M","1,47%"
"15.03.2019","129.601,23","129.204,54","129.709,08","128.778,84","1,17B","0,76%"
"14.03.2019","128.627,08","128.505,79","129.155,34","128.091,32","894,32M","0,17%"
"13.03.2019","128.405,23","127.811,86","128.865,74","126.945,37","820,94M","0,54%"
