time,date,close,open,high,low
1594602300.0,2020-07-13 04:05:00,118.7,118.65,118.7,118.65
1594605900.0,2020-07-13 05:05:00,118.75,118.75,118.75,118.75
1594613100.0,2020-07-13 07:05:00,119.0,119.0,119.0,119.0
1594613700.0,2020-07-13 07:15:00,119.19,119.19,119.19,119.19
1594615500.0,2020-07-13 07:45:00,119.5,119.2,119.5,119.2
1594616400.0,2020-07-13 08:00:00,119.54,119.54,119.54,119.54
1594616700.0,2020-07-13 08:05:00,119.5499,118.6,119.5499,118.6
1594617300.0,2020-07-13 08:15:00,119.405,119.405,119.405,119.405
1594617600.0,2020-07-13 08:20:00,119.5,119.49,119.55,119.49
1594618500.0,2020-07-13 08:35:00,119.2,119.2,119.2,119.2
1594619100.0,2020-07-13 08:45:00,119.22,119.22,119.22,119.22
1594619400.0,2020-07-13 08:50:00,119.2001,119.2001,119.2001,119.2001
1594619700.0,2020-07-13 08:55:00,119.21,119.21,119.21,119.21
1594620000.0,2020-07-13 09:00:00,119.22,119.2001,119.22,119.2001
1594620900.0,2020-07-13 09:15:00,119.2,119.22,119.22,119.18
1594621200.0,2020-07-13 09:20:00,119.21,119.21,119.21,119.21
1594621500.0,2020-07-13 09:25:00,119.5,119.5,119.5,119.5
1594621800.0,2020-07-13 09:30:00,119.85,119.5,119.85,119.5
1594622100.0,2020-07-13 09:35:00,120.057,119.78,120.11,119.3815
1594622400.0,2020-07-13 09:40:00,119.1752,120.03,120.03,119.14
1594622700.0,2020-07-13 09:45:00,118.87,119.17,119.445,118.86
1594623000.0,2020-07-13 09:50:00,118.89,118.86,119.1,118.66
1594623300.0,2020-07-13 09:55:00,119.2,118.87,119.29,118.868
1594623600.0,2020-07-13 10:00:00,118.85,119.2,119.32,118.85
1594623900.0,2020-07-13 10:05:00,119.02,118.89,119.13,118.82
1594624200.0,2020-07-13 10:10:00,119.08,119.055,119.13,118.98
1594624500.0,2020-07-13 10:15:00,119.16,119.05,119.18,118.93
1594624800.0,2020-07-13 10:20:00,119.19,119.18,119.26,119.01
1594625100.0,2020-07-13 10:25:00,119.13,119.195,119.41,119.05
1594625400.0,2020-07-13 10:30:00,119.195,119.11,119.33,119.11
1594625700.0,2020-07-13 10:35:00,119.17,119.22,119.3,119.1
1594626000.0,2020-07-13 10:40:00,119.05,119.2,119.24,119.0246
1594626300.0,2020-07-13 10:45:00,119.03,119.05,119.1582,119.0
1594626600.0,2020-07-13 10:50:00,119.37,119.04,119.39,118.93
1594626900.0,2020-07-13 10:55:00,119.69,119.395,119.73,119.39
1594627200.0,2020-07-13 11:00:00,119.66,119.67,119.79,119.58
1594627500.0,2020-07-13 11:05:00,119.73,119.66,119.73,119.465
1594627800.0,2020-07-13 11:10:00,119.94,119.73,119.99,119.71
1594628100.0,2020-07-13 11:15:00,120.04,119.9243,120.09,119.91
1594628400.0,2020-07-13 11:20:00,120.06,120.04,120.06,119.95
1594628700.0,2020-07-13 11:25:00,119.98,120.06,120.0875,119.9024
1594629000.0,2020-07-13 11:30:00,119.98,119.97,120.07,119.92
1594629300.0,2020-07-13 11:35:00,119.71,119.98,120.03,119.68
1594629600.0,2020-07-13 11:40:00,119.59,119.73,119.79,119.5
1594629900.0,2020-07-13 11:45:00,119.6,119.57,119.6099,119.515
1594630200.0,2020-07-13 11:50:00,119.71,119.595,119.77,119.5026
1594630500.0,2020-07-13 11:55:00,119.74,119.705,119.76,119.605
1594630800.0,2020-07-13 12:00:00,119.84,119.78,119.88,119.69
1594631100.0,2020-07-13 12:05:00,119.7,119.82,119.84,119.65
1594631400.0,2020-07-13 12:10:00,119.74,119.71,119.76,119.67
1594631700.0,2020-07-13 12:15:00,119.7,119.74,119.75,119.62
1594632000.0,2020-07-13 12:20:00,119.66,119.7115,119.72,119.57
1594632300.0,2020-07-13 12:25:00,119.74,119.66,119.76,119.655
1594632600.0,2020-07-13 12:30:00,119.69,119.739,119.78,119.63
1594632900.0,2020-07-13 12:35:00,119.763,119.72,119.82,119.71
